Algoritmo,Distribucion,Repeticion,Comparaciones,Intercambios,TiempoNano
Burbuja (HorasPerdidas),Aleatorio,1,124630,62862,8538200
Burbuja (HorasPerdidas),Aleatorio,2,123889,63226,1196100
Burbuja (HorasPerdidas),Aleatorio,3,124705,64161,2160600
Burbuja (HorasPerdidas),Invertido,1,124750,124750,4733300
Burbuja (HorasPerdidas),Invertido,2,124750,124750,1341700
Burbuja (HorasPerdidas),Invertido,3,124750,124750,2547000
Burbuja (HorasPerdidas),LevementeOrdenado,1,109872,5423,3007000
Burbuja (HorasPerdidas),LevementeOrdenado,2,122797,7875,3821500
Burbuja (HorasPerdidas),LevementeOrdenado,3,123372,8011,1539000
Insercion (DistanciaRecorrida),Aleatorio,1,62795,62802,4888500
Insercion (DistanciaRecorrida),Aleatorio,2,63177,63183,2444900
Insercion (DistanciaRecorrida),Aleatorio,3,61495,61500,955300
Insercion (DistanciaRecorrida),Invertido,1,124750,125249,2461900
Insercion (DistanciaRecorrida),Invertido,2,124750,125249,2311500
Insercion (DistanciaRecorrida),Invertido,3,124750,125249,2398300
Insercion (DistanciaRecorrida),LevementeOrdenado,1,5922,5922,440200
Insercion (DistanciaRecorrida),LevementeOrdenado,2,8372,8374,481700
Insercion (DistanciaRecorrida),LevementeOrdenado,3,8510,8510,746200
Merge (SobornosRecibidos),Aleatorio,1,3845,4488,780100
Merge (SobornosRecibidos),Aleatorio,2,3858,4488,546200
Merge (SobornosRecibidos),Aleatorio,3,3863,4488,250600
Merge (SobornosRecibidos),Invertido,1,2216,4488,449200
Merge (SobornosRecibidos),Invertido,2,2216,4488,451900
Merge (SobornosRecibidos),Invertido,3,2216,4488,413900
Merge (SobornosRecibidos),LevementeOrdenado,1,3390,4488,461300
Merge (SobornosRecibidos),LevementeOrdenado,2,3375,4488,454400
Merge (SobornosRecibidos),LevementeOrdenado,3,3386,4488,464200
Seleccion (PrebendasSindicales),Aleatorio,1,124750,490,4419000
Seleccion (PrebendasSindicales),Aleatorio,2,124750,495,2054300
Seleccion (PrebendasSindicales),Aleatorio,3,124750,496,1873800
Seleccion (PrebendasSindicales),Invertido,1,124750,250,2797300
Seleccion (PrebendasSindicales),Invertido,2,124750,250,2029100
Seleccion (PrebendasSindicales),Invertido,3,124750,250,2070000
Seleccion (PrebendasSindicales),LevementeOrdenado,1,124750,25,2082900
Seleccion (PrebendasSindicales),LevementeOrdenado,2,124750,25,3197200
Seleccion (PrebendasSindicales),LevementeOrdenado,3,124750,25,2106400
Quick (TotalCorrupcion),Aleatorio,1,5348,2744,1133000
Quick (TotalCorrupcion),Aleatorio,2,4571,2514,144000
Quick (TotalCorrupcion),Aleatorio,3,4943,2720,153900
Quick (TotalCorrupcion),Invertido,1,124750,62749,2512200
Quick (TotalCorrupcion),Invertido,2,124750,62749,2200300
Quick (TotalCorrupcion),Invertido,3,124750,62749,2402900
Quick (TotalCorrupcion),LevementeOrdenado,1,11659,6293,493100
Quick (TotalCorrupcion),LevementeOrdenado,2,15309,8702,857800
Quick (TotalCorrupcion),LevementeOrdenado,3,18944,5863,495300
